id,found_at,status,title,company,location,source,visa_sponsorship,dol_h1b_sponsor,dol_h1b_lca_count,dol_h1b_worker_positions,dol_h1b_role_lca_count,dol_h1b_employer,h1bgrader_url,url
greenhouse_airbnb_7592146,2026-07-11 18:21:50 UTC,To Apply,"Senior Staff Machine Learning Engineer, Trust",airbnb,Remote - USA,Greenhouse,,,,,,,,https://careers.airbnb.com/positions/7592146?gh_jid=7592146
greenhouse_airbnb_8024316,2026-07-11 18:21:50 UTC,To Apply,"Staff Machine Learning Engineer, Community Support Engineering",airbnb,"San Francisco, CA",Greenhouse,,,,,,,,https://careers.airbnb.com/positions/8024316?gh_jid=8024316
greenhouse_airbnb_7454348,2026-07-11 18:21:50 UTC,To Apply,"Staff Machine Learning Engineer, Listings and Host Tools Data and AI",airbnb,Remote-USA,Greenhouse,,,,,,,,https://careers.airbnb.com/positions/7454348?gh_jid=7454348
greenhouse_coinbase_8020892,2026-07-11 18:21:50 UTC,To Apply,Analytics Engineer,coinbase,Remote - USA,Greenhouse,,,,,,,,https://www.coinbase.com/careers/positions/8020892?gh_jid=8020892
greenhouse_coinbase_8024880,2026-07-11 18:21:50 UTC,To Apply,"Analytics Engineer, GFCO Analytics",coinbase,Remote - USA,Greenhouse,,,,,,,,https://www.coinbase.com/careers/positions/8024880?gh_jid=8024880
greenhouse_coinbase_7736521,2026-07-11 18:21:50 UTC,To Apply,Senior Analytics Engineer (Platform - Financial Analytics),coinbase,Remote - USA,Greenhouse,,,,,,,,https://www.coinbase.com/careers/positions/7736521?gh_jid=7736521
greenhouse_coinbase_7847431,2026-07-11 18:21:50 UTC,To Apply,"Senior Site Reliability Engineer, Core AI Infrastructure",coinbase,Remote - USA,Greenhouse,,,,,,,,https://www.coinbase.com/careers/positions/7847431?gh_jid=7847431
greenhouse_coinbase_7711287,2026-07-11 18:21:50 UTC,To Apply,"Senior Staff Software Engineer, Data Platform",coinbase,Remote - USA,Greenhouse,,,,,,,,https://www.coinbase.com/careers/positions/7711287?gh_jid=7711287
greenhouse_coinbase_7891045,2026-07-11 18:21:50 UTC,To Apply,Staff Machine Learning Engineer(Platform - Identity),coinbase,Remote - USA,Greenhouse,,,,,,,,https://www.coinbase.com/careers/positions/7891045?gh_jid=7891045
greenhouse_coinbase_7991691,2026-07-11 18:21:50 UTC,To Apply,"Staff Site Reliability Engineer, Core AI Infrastructure",coinbase,Remote - USA,Greenhouse,,,,,,,,https://www.coinbase.com/careers/positions/7991691?gh_jid=7991691
greenhouse_databricks_8625462002,2026-07-11 18:21:50 UTC,To Apply,"Applied AI Engineer, Learning Intelligence",databricks,United States,Greenhouse,,,,,,,,https://databricks.com/company/careers/open-positions/job?gh_jid=8625462002
greenhouse_databricks_8297797002,2026-07-11 18:21:50 UTC,To Apply,Senior GenAI Research Engineer - Optimization and Kernels,databricks,"Mountain View, California; San Francisco, California",Greenhouse,,,,,,,,https://databricks.com/company/careers/open-positions/job?gh_jid=8297797002
greenhouse_databricks_6954585002,2026-07-11 18:21:50 UTC,To Apply,Senior Machine Learning Engineer - GenAI Platform ,databricks,"San Francisco, California",Greenhouse,,,,,,,,https://databricks.com/company/careers/open-positions/job?gh_jid=6954585002
greenhouse_databricks_8582276002,2026-07-11 18:21:50 UTC,To Apply,"Senior Software Engineer, AI Runtime",databricks,"Mountain View, California; San Francisco, California",Greenhouse,,,,,,,,https://databricks.com/company/careers/open-positions/job?gh_jid=8582276002
greenhouse_databricks_8540267002,2026-07-11 18:21:50 UTC,To Apply,Senior Staff Applied AI Engineer - Context Retrieval,databricks,"Mountain View, California; San Francisco, California",Greenhouse,,,,,,,,https://databricks.com/company/careers/open-positions/job?gh_jid=8540267002
greenhouse_databricks_8570023002,2026-07-11 18:21:50 UTC,To Apply,Specialist Solutions Architect - Data Engineering & Warehousing,databricks,United States,Greenhouse,,,,,,,,https://databricks.com/company/careers/open-positions/job?gh_jid=8570023002
greenhouse_databricks_8546365002,2026-07-11 18:21:50 UTC,To Apply,Sr. AI Engineer - FDE (Forward Deployed Engineer) - U.S. Federal Sector,databricks,"Maryland; Virginia; Washington, D.C.",Greenhouse,,,,,,,,https://databricks.com/company/careers/open-positions/job?gh_jid=8546365002
greenhouse_databricks_6322654002,2026-07-11 18:21:50 UTC,To Apply,"Sr. Product Manager, Data Engineering",databricks,"San Francisco, California",Greenhouse,,,,,,,,https://databricks.com/company/careers/open-positions/job?gh_jid=6322654002
greenhouse_databricks_8568122002,2026-07-11 18:21:50 UTC,To Apply,Sr. Specialist Solutions Architect - Data Engineering & Warehousing,databricks,United States,Greenhouse,,,,,,,,https://databricks.com/company/careers/open-positions/job?gh_jid=8568122002
greenhouse_databricks_8401114002,2026-07-11 18:21:50 UTC,To Apply,Staff Machine Learning Engineer ,databricks,"San Francisco, California",Greenhouse,,,,,,,,https://databricks.com/company/careers/open-positions/job?gh_jid=8401114002
greenhouse_databricks_8614863002,2026-07-11 18:21:50 UTC,To Apply,"Staff Machine Learning Engineer, CustomerLake (ML/LLM)",databricks,"New York City, New York",Greenhouse,,,,,,,,https://databricks.com/company/careers/open-positions/job?gh_jid=8614863002
